,latitude,longitude,number_intersections,value
0,29.78944618,-95.48382236,2,0.0005165625
1,29.75058815,-95.41985262,7,0.0007557142857
2,29.81059021,-95.3485405,2,0.001427041667
3,29.78691732,-95.29881758,2,0.0012620634919999999
4,29.60490333,-95.36468177,2,0.0008028571429
5,29.78559074,-95.29626554,2,0.001147361111
6,29.78427296,-95.47627544,11,0.0020655
7,29.60255492,-95.31785002,2,0.001196666667
8,29.72848345,-95.55081077,6,0.00066625
9,29.80540361,-95.40568451,3,0.000535
10,29.79941423,-95.32408714,2,0.001029791667
11,29.81383361,-95.39160561,5,0.002065
12,29.69674987,-95.52903161,2,0.00051525
13,29.60353717,-95.3709215,2,0.0006349999999999999
14,29.79814016,-95.48404953,2,0.0006075714286
15,29.74474547,-95.43994788,3,0.0007495757576
16,29.736462699999997,-95.25190997,2,0.0007325
17,29.7782582,-95.37594251,2,0.0014
18,29.77748545,-95.42976837,8,0.00256
19,29.78527767,-95.34326255,3,0.0009965384615
20,29.68978135,-95.50920041,6,0.00100475
21,29.72229055,-95.41815465,3,0.0012
22,29.61022413,-95.36765196,2,0.0009016666667000001
23,29.81040008,-95.39459038,2,0.0007425
24,29.73975282,-95.24507463,2,0.0005034821429
25,29.74443774,-95.25419699999999,2,0.0005670277778
26,29.77930118,-95.34288653,3,0.0009742763158
27,29.70841502,-95.52161028,6,0.00161
28,29.72783024,-95.54219577,5,0.000875
29,29.68475167,-95.27001339,2,0.0005868571429
30,29.60499215,-95.35232318,2,0.0006495481602000001
31,29.73428369,-95.24015647,3,0.0009
32,29.70743707,-95.52034163,10,0.0006925
33,29.71577082,-95.25717727,2,0.0008939999999999999
34,29.71464754,-95.52444029,2,0.0011426190480000001
35,29.71554906,-95.27974609999998,13,0.0012625
36,29.74096022,-95.25601614,2,0.0007614583332999999
37,29.62095989,-95.33417966,2,0.0008349999999999999
38,29.73459122,-95.23530508,2,0.0006188888889
39,29.80669271,-95.40369251,2,0.00075
40,29.74180969,-95.24185074,2,0.000538
41,29.80889506,-95.40943549,4,0.000784875
42,29.71526046,-95.26962205,2,0.00132
43,29.77881265,-95.34184935,3,0.0014452678570000001
44,29.70344522,-95.41102048,4,0.0005179166667
45,29.60722991,-95.37422204,2,0.0006696428570999999
46,29.71158474,-95.41006949,2,0.000495
47,29.72457353,-95.55397754,2,0.0006647727273
48,29.70787732,-95.41226044,6,0.0007841666667000001
49,29.758756899999995,-95.26531716,2,0.004185
50,29.81060878,-95.39268249,2,0.00071125
51,29.800401,-95.47652754,6,0.0006005
52,29.80203758,-95.47276957,6,0.000555625
